"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"Quantum Superposition",NA,"An approach to real-coded quantum inspired evolutionary algorithm using particles filter",2015,"Josimar Edinson Chire Saire; V. Yvan Jesus Tupac","2015 Latin America Congress on Computational Intelligence (LA-CCI)",FALSE,"10.1109/la-cci.2015.7435984",10.1109/la-cci.2015.7435984,   2
"Ravens",NA,"Improved Raven Roosting Optimization algorithm ({IRRO})",2017,"Shadi Torabi; Faramarz Safi-Esfahani","Swarm and Evolutionary Computation",TRUE,"10.1016/j.swevo.2017.11.006",10.1016/j.swevo.2017.11.006,  16
"Rays of Light",NA,"A new meta-heuristic method: Ray Optimization",2012,"A. Kaveh; M. Khayatazad","Computers & Structures",TRUE,"10.1016/j.compstruc.2012.09.003",10.1016/j.compstruc.2012.09.003, 356
"Reincarnation",NA,"A new optimizing algorithm using reincarnation concept",2010,"Anurag Sharma","2010 11th International Symposium on Computational Intelligence and Informatics (CINTI)",FALSE,"10.1109/cinti.2010.5672231",10.1109/cinti.2010.5672231,   4
"Rhinoceros",NA,"A novel metaheuristic algorithm inspired by rhino herd behavior",2016,"Gai-Ge Wang; Xiao-Zhi Gao; Kai Zenger; Leandro dos S Coelho","Proceedings of The 9th EUROSIM Congress on Modelling and Simulation, EUROSIM 2016, The 57th SIMS Conference on Simulation and Modelling SIMS 2016",FALSE,NA,NA,NA
"Rice","Hybrid","A hybrid rice optimization algorithm",2016,"Zhiwei Ye; Lie Ma; Hongwei Chen","2016 11th International Conference on Computer Science & Education (ICCSE)",FALSE,"10.1109/iccse.2016.7581575",10.1109/iccse.2016.7581575,   2
"River Formation",NA,"Using River Formation Dynamics to Design Heuristic Algorithms",2007,"Pablo Rabanal; Ismael Rodr\'\iguez; Fernando Rubio","Lecture Notes in Computer Science",FALSE,"10.1007/978-3-540-73554-0_16",10.1007/978-3-540-73554-0_16,  58
"Roach Infestations",NA,"Roach Infestation Optimization",2008,"Timothy C. Havens; Christopher J. Spain; Nathan G. Salmon; James M. Keller","2008 IEEE Swarm Intelligence Symposium",FALSE,"10.1109/sis.2008.4668317",10.1109/sis.2008.4668317,  52
"Roots",NA,"The runner-root algorithm: A metaheuristic for solving unimodal and multimodal optimization problems inspired by runners and roots of plants in nature",2015,"F. Merrikh-Bayat","Applied Soft Computing",TRUE,"10.1016/j.asoc.2015.04.048",10.1016/j.asoc.2015.04.048,  69
"Sailfish",NA,"The Sailfish Optimizer: A novel nature-inspired metaheuristic algorithm for solving constrained engineering optimization problems",2019,"S. Shadravan; H.R. Naji; V.K. Bardsiri","Engineering Applications of Artificial Intelligence",TRUE,"10.1016/j.engappai.2019.01.001",10.1016/j.engappai.2019.01.001,  95
"Salmon Migrations",NA,"The great salmon run: a novel bio-inspired algorithm for artificial system design and optimisation",2012,"Ahmad Mozaffari; Alireza Fathi; Saeed Behzadipour","International Journal of Bio-Inspired Computation",TRUE,NA,NA,NA
"Salp Planktons",NA,"Salp Swarm Algorithm: A bio-inspired optimizer for engineering design problems",2017,"Seyedali Mirjalili; Amir H. Gandomi; Seyedeh Zahra Mirjalili; Shahrzad Saremi; Hossam Faris; Seyed Mohammad Mirjalili","Advances in Engineering Software",TRUE,"10.1016/j.advengsoft.2017.07.002",10.1016/j.advengsoft.2017.07.002,1136
"Sandpiper",NA,"Sandpiper optimization algorithm: a novel approach for solving real-life engineering problems",2019,"Amandeep Kaur; Sushma Jain; Shivani Goel","Applied Intelligence",TRUE,"10.1007/s10489-019-01507-3",10.1007/s10489-019-01507-3,   5
"Scientific Method",NA,"Scientific algorithms for the Car Renter Salesman Problem",2014,"Denis Felipe; Elizabeth Ferreira Gouvea Goldbarg; Marco Cesar Goldbarg","2014 IEEE Congress on Evolutionary Computation (CEC)",FALSE,"10.1109/cec.2014.6900556",10.1109/cec.2014.6900556,   8
"Seagulls",NA,"Seagull optimization algorithm: Theory and its applications for large-scale industrial engineering problems",2019,"Gaurav Dhiman; Vijay Kumar","Knowledge-Based Systems",TRUE,"10.1016/j.knosys.2018.11.024",10.1016/j.knosys.2018.11.024, 145
"See-See Partridges",NA,"{SSPCO} Optimization Algorithm (See-See Partridge Chicks Optimization)",2015,"Rohollah Omidvar; Hamid Parvin; Farhad Rad","2015 Fourteenth Mexican International Conference on Artificial Intelligence (MICAI)",FALSE,"10.1109/micai.2015.22",10.1109/micai.2015.22,   2
"Sharks",NA,"A new metaheuristic algorithm based on shark smell optimization",2014,"Oveis Abedinia; Nima Amjady; Ali Ghasemi","Complexity",TRUE,"10.1002/cplx.21634",10.1002/cplx.21634,  88
"Sharks","Hammerhead","On Nature-Inspired Dynamic Route Planning: Hammerhead Shark Optimization Algorithm",2019,"Asif Ali; Kashif Zafar; Taimur Bakhshi","2019 15th International Conference on Emerging Technologies (ICET)",FALSE,"10.1109/icet48972.2019.8994757",10.1109/icet48972.2019.8994757,   0
